#TYPE	INDEX	FIELD	SOURCE	TARGET
Map	121	Title	RedValley_1F	赤月峡谷一层
Map	122	Title	RedValley_1F	赤月峡谷一层
Map	123	Title	RedValley_1F	赤月峡谷一层
Map	124	Title	RedValley_2F	赤月峡谷二层
Map	125	Title	RedValley_3F	赤月峡谷三层
Map	126	Title	RedValley_3F	赤月峡谷三层
Map	127	Title	RedValley_4F	赤月峡谷四层
Map	128	Title	RedValley_5F	赤月峡谷五层
Map	129	Title	RedValley_5F	赤月峡谷五层
Map	130	Title	Great_TaoTomb	大道士陵墓
Map	131	Title	RedMoonRoom	赤月魔穴
Map	132	Title	RedValley_5F	赤月峡谷五层
Map	133	Title	RedValley_5F	赤月峡谷五层
Map	135	Title	Lunar_1F	月宫一层
Map	136	Title	Lunar_2F	月宫二层
Map	137	Title	Lunar_3F	月宫三层
Map	138	Title	Lunar_4F	月宫四层
Map	139	Title	LunarRoom	月宫密室
Map	140	Title	DarkForest	黑暗森林
Map	141	Title	DarkForest	黑暗森林
Map	142	Title	DarkForest	黑暗森林
Map	143	Title	TownHall	城镇大厅
Map	144	Title	SerpentValley	毒蛇山谷
Map	145	Title	S_ValleyTavern	毒蛇山谷酒馆
Map	146	Title	ReagentStore	药剂店
Map	147	Title	Blacksmith	铁匠铺
Map	148	Title	PrivateHouse	民居
Map	149	Title	S_ValleyDeadMine	毒蛇山谷废矿
Map	150	Title	S_ValleyDeadMine	毒蛇山谷废矿
Map	151	Title	S_ValleyDeadMine	毒蛇山谷废矿
Map	152	Title	ViperMaze	毒蛇迷宫
Map	153	Title	ViperMaze	毒蛇迷宫
Map	154	Title	ViperMaze	毒蛇迷宫
Map	155	Title	ViperMaze	毒蛇迷宫
Map	156	Title	ViperMaze	毒蛇迷宫
Map	157	Title	ViperMaze	毒蛇迷宫
Map	158	Title	ViperPath	毒蛇小径
Map	159	Title	ViperPath	毒蛇小径
Map	160	Title	ViperPath	毒蛇小径
Map	161	Title	ViperPath	毒蛇小径
Map	162	Title	ViperMaze	毒蛇迷宫
Map	163	Title	ViperCave	毒蛇洞穴
Map	164	Title	ViperCave	毒蛇洞穴
Map	165	Title	YimoogiNest	螭龙巢穴
Map	166	Title	ConnectionPath	连接通道
Map	167	Title	ConnectionPath	连接通道
Map	168	Title	ConnectionPath	连接通道
Map	169	Title	ConnectionPath	连接通道
Map	170	Title	ConnectionPath	连接通道
Map	171	Title	MysteryCave	神秘洞穴
Map	172	Title	MongchonProvince	盟重省
Map	173	Title	PrivateHouse	民居
Map	174	Title	PrivateHouse	民居
Map	175	Title	Inn	客栈
Map	176	Title	2FofInn	客栈二楼
Map	177	Title	Tavern	酒馆
Map	178	Title	DraperyStore	服装店
Map	179	Title	GroceryStore	杂货店
Map	180	Title	Blacksmith	铁匠铺
Map	181	Title	Mill	磨坊
Map	182	Title	S_1FofDungeon	石墓南一层
Map	183	Title	W_1FofDungeon	石墓西一层
Map	184	Title	N_1FofDungeon	石墓北一层
Map	185	Title	W_2FofDungeon	石墓西二层
Map	186	Title	N_2FofDungeon	石墓北二层
Map	187	Title	LifeDeathCoffin	生死棺
Map	188	Title	StoneLanternRoom	石灯笼屋
Map	189	Title	AmethystRoom	紫晶屋
Map	190	Title	StoneCarvedStream	石刻溪流
Map	191	Title	StrangeRocksRoom	怪石屋
Map	192	Title	StrangeRocksPath	怪石小径
Map	193	Title	LostCave(MainCave)	失落洞穴主洞
Map	194	Title	LostMiddleCave	失落中洞
Map	195	Title	SouthernLostCave	失落南洞
Map	196	Title	WesternLostCave	失落西洞
Map	197	Title	NorthernLostCave	失落北洞
Map	198	Title	EasternLostCave	失落东洞
Map	199	Title	FatallyPoisonousCave	剧毒洞穴
Map	200	Title	B1_AngledStoneTomb	斜石墓地下一层
Map	201	Title	B2_AngledStoneTomb	斜石墓地下二层
Map	202	Title	B3_AngledStoneTomb	斜石墓地下三层
Map	203	Title	B4_AngledStoneTomb	斜石墓地下四层
Map	204	Title	B5_AngledStoneTomb	斜石墓地下五层
Map	205	Title	B6_AngledStoneTomb	斜石墓地下六层
Map	206	Title	B7_AngledStoneTomb	斜石墓地下七层
Map	207	Title	TacticalMaze	战术迷宫
Map	208	Title	TacticalMaze	战术迷宫
Map	209	Title	TacticalMaze	战术迷宫
Map	210	Title	TacticalMaze	战术迷宫
Map	211	Title	TacticalMaze	战术迷宫
Map	212	Title	TacticalMaze	战术迷宫
Map	213	Title	TacticalMaze	战术迷宫
Map	214	Title	TacticalMaze	战术迷宫
Map	215	Title	TacticalMaze	战术迷宫
Map	216	Title	TacticalMaze	战术迷宫
Map	217	Title	TacticalMaze	战术迷宫
Map	218	Title	TacticalMaze	战术迷宫
Map	219	Title	TacticalMaze	战术迷宫
Map	220	Title	TacticalMaze	战术迷宫
Map	221	Title	TacticalMaze	战术迷宫
Map	222	Title	TacticalMaze	战术迷宫
Map	223	Title	TacticalMaze	战术迷宫
Map	224	Title	TacticalMaze	战术迷宫
Map	225	Title	TacticalMaze	战术迷宫
Map	226	Title	TacticalMaze	战术迷宫
Map	227	Title	TacticalMaze	战术迷宫
Map	228	Title	TacticalMaze	战术迷宫
Map	229	Title	TacticalMaze	战术迷宫
Map	230	Title	TacticalMaze	战术迷宫
Map	231	Title	TacticalMaze	战术迷宫
Map	232	Title	TacticalMaze	战术迷宫
Map	233	Title	TacticalMaze	战术迷宫
Map	234	Title	TacticalMaze	战术迷宫
Map	235	Title	TacticalMaze	战术迷宫
Map	236	Title	AngledStoneTombEntrance	斜石墓入口
Map	237	Title	AncientSTombEntrance	远古石墓入口
Map	238	Title	AncientSTomb_1F	远古石墓一层
Map	239	Title	AncientSTomb_2F	远古石墓二层
Map	240	Title	AncientSTomb_3F	远古石墓三层
Map	241	Title	ConnectionCave	连接洞穴
Map	242	Title	ConnectionCave	连接洞穴
Map	243	Title	ConnectionCave	连接洞穴
Map	244	Title	SabukSecretGate	沙巴克密道
Map	245	Title	InnerWall	内城墙
Map	246	Title	Blacksmith	铁匠铺
Map	247	Title	Warehouse	仓库
Map	248	Title	ReagentStore	药剂店
Map	249	Title	ReagentStore	药剂店
Map	250	Title	ReagentStore	药剂店
Map	251	Title	Prison	监狱
Map	252	Title	Prison	监狱
Map	253	Title	LobbyofZumaTemple	祖玛寺庙大厅
Map	254	Title	ZumaTemple_1F	祖玛寺庙一层
Map	255	Title	ZumaTemple_2F	祖玛寺庙二层
Map	256	Title	ZumaTemple_3F	祖玛寺庙三层
Map	257	Title	ZumaTemple_4F	祖玛寺庙四层
Map	258	Title	ZumaTemple_5F	祖玛寺庙五层
Map	259	Title	ZumaMaze	祖玛迷宫
Map	260	Title	ZumaMaze	祖玛迷宫
Map	261	Title	ZumaMaze	祖玛迷宫
Map	262	Title	ZumaMaze	祖玛迷宫
Map	263	Title	ZumaMaze	祖玛迷宫
Map	264	Title	ZumaMaze	祖玛迷宫
Map	265	Title	ZumaMaze	祖玛迷宫
Map	266	Title	ZumaMaze	祖玛迷宫
Map	267	Title	ZumaMaze	祖玛迷宫
Map	268	Title	ZumaTempleLobby_7F	祖玛七层大厅
Map	269	Title	ZumaTemple_7F	祖玛寺庙七层
Map	270	Title	ZumaTemple_7F	祖玛寺庙七层
Map	271	Title	ZumaTemple_7F	祖玛寺庙七层
Map	272	Title	ZumaTemple	祖玛寺庙
Map	273	Title	ZumaTemple	祖玛寺庙
Map	274	Title	ZumaTemple	祖玛寺庙
Map	275	Title	ZumaTemple	祖玛寺庙
Map	276	Title	ZumaTemple	祖玛寺庙
Map	277	Title	AncientZumaLobby	远古祖玛大厅
Map	278	Title	AncientZuma_1F	远古祖玛一层
Map	279	Title	AncientZuma_2F	远古祖玛二层
Map	280	Title	AncientZuma_3F	远古祖玛三层
Map	281	Title	SealedMaze	封印迷宫
Map	282	Title	SacredFoxHill	圣狐山
Map	283	Title	SacredFoxTemple	圣狐神殿
Map	284	Title	SwampCavern_1F	沼泽洞穴一层
Map	285	Title	SwampCavern_2F	沼泽洞穴二层
Map	286	Title	Swamp	沼泽
Map	287	Title	DarkSwamp	黑暗沼泽
Map	288	Title	ForgottenCity	遗忘之城
Map	289	Title	PrajnaIsland	般若岛
Map	290	Title	WeaponStore	武器店
Map	291	Title	AccessoryStore	首饰店
Map	292	Title	DraperyStore	服装店
Map	293	Title	VillageChiefHouse	村长家
Map	294	Title	FisherManHouse	渔夫家
Map	295	Title	Shrine	神龛
Map	296	Title	PrajnaStoneCave_1F	般若石窟一层
Map	297	Title	PrajnaStoneCave_2F	般若石窟二层
Map	298	Title	PrajnaStoneCave(E)_3F	般若石窟东三层
Map	299	Title	PrajnaStoneCave(W)_3F	般若石窟西三层
Map	300	Title	PrajnaStoneCave_4F	般若石窟四层
Map	301	Title	PrajnaStoneCave_5F	般若石窟五层
Map	302	Title	PrajnaStoneCave_6F	般若石窟六层
Map	303	Title	PrajnaTempleLobby	般若神殿大厅
Map	304	Title	PrajnaTemple_1F	般若神殿一层
Map	305	Title	PrajnaTemple_2F	般若神殿二层
Map	306	Title	PrajnaTemple_3F	般若神殿三层
Map	307	Title	PrajnaTemple_4F	般若神殿四层
Map	308	Title	PrajnaTemple(E)_5F	般若神殿东五层
Map	309	Title	PrajnaTemple(W)_5F	般若神殿西五层
Map	310	Title	PrajnaTemple_6F	般若神殿六层
Map	311	Title	PrajnaTemple_7F	般若神殿七层
Map	312	Title	PrajnaTemple	般若神殿
Map	313	Title	AncientPrajna_1F	远古般若一层
Map	314	Title	AncientPrajna_2F	远古般若二层
Map	315	Title	AncientPrajna_3F	远古般若三层
Map	316	Title	PastBichon	过去的比奇
Map	317	Title	GeneralsCamp	将军营地
Map	318	Title	WestOmaGorge	西兽人峡谷
Map	319	Title	WestOmaPass	西兽人关口
Map	320	Title	OmaGorge	兽人峡谷
Map	321	Title	EastOmaPass	东兽人关口
Map	322	Title	WestOmaValley	西兽人山谷
Map	323	Title	OmaValley	兽人山谷
Map	324	Title	EastOmaValley	东兽人山谷
Map	325	Title	EastOmaGorge	东兽人峡谷
Map	326	Title	WestPass	西部关口
Map	327	Title	EastPass	东部关口
