#TYPE	INDEX	FIELD	SOURCE	TARGET
NPC	161	Name	CraftsLady_Louise	工匠露易丝
NPC	68	Name	Merchant_Hans	商人汉斯
NPC	93	Name	Merchant_Janey	商人珍妮
NPC	80	Name	Merchant_Jim	商人吉姆
NPC	157	Name	Merchant_Rachel	商人瑞秋
NPC	9	Name	Merchant_Ruben	商人鲁本
NPC	133	Name	MirGuide_James	向导詹姆斯
NPC	140	Name	OldSkull	古旧头骨
NPC	53	Name	Sir_Mogu	莫古爵士
NPC	23	Name	Teleport_Harrison	传送员哈里森
NPC	146	Name	Transport_Edwin	运输员埃德温
NPC	119	Name	BrokenCarriage	破损马车
NPC	4	Name	CraftsLady_Jude	工匠朱迪
NPC	122	Name	CrushedBones	碎骨
NPC	117	Name	Investigator_David	调查员大卫
NPC	97	Name	Master_Perry	佩里大师
NPC	116	Name	MasterMK_Deric	武学大师德里克
NPC	145	Name	Merchant_Daniel	商人丹尼尔
NPC	89	Name	Merchant_Jerald	商人杰拉德
NPC	143	Name	Merchant_Kevin	商人凯文
