#TYPE	INDEX	FIELD	SOURCE	TARGET
Quest	29	GotoMessage	Travel to SerpentValley and Deliver to Bradly at 517:492 	前往毒蛇山谷，把物品交给 517:492 的布拉德利
Quest	44	GotoMessage	Travel to PrajnaIsland Speak to Sandford. Boat leaves fom BorderVillage	从边境村乘船前往般若岛，与桑福德交谈
Quest	54	GotoMessage	Return to Blacksmith Bill in BichonWall	回到比奇城找铁匠比尔
Quest	59	GotoMessage	Return to Blacksmith Bill in BichonWall	回到比奇城找铁匠比尔
Item	794	ToolTip	Premium Fishing Rod purchasable from the GameShop.\r\n-Duration 6 Months	可在商城购买的高级鱼竿。\r\n-持续 6 个月
Item	941	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	942	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	943	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	944	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	945	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	946	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	947	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	948	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	949	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	950	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	951	ToolTip	Click this egg to obtain a Creature.\r\nA Creature can pickup your items for you while you can continue the fight.	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。
Item	953	ToolTip	Special creatures produce these rare stones every 3 hours.\r\nBreaking this stone will grant you a random item.	特殊宠物每 3 小时产出一次这种稀有石头。\r\n打碎后可获得随机物品。
Item	955	ToolTip	You can give this to your creature.\r\n25%	可喂给宠物。\r\n25%
Item	956	ToolTip	You can give this to your creature.\r\n50%	可喂给宠物。\r\n50%
Item	957	ToolTip	You can give this to your creature.\r\n75%	可喂给宠物。\r\n75%
Item	958	ToolTip	You can give this to your creature.\r\n100%	可喂给宠物。\r\n100%
Item	960	ToolTip	Open this box to receive a random wonder.\r\nWonderStrength is based on BoxStrength.	打开此盒可获得随机神物。\r\n神物强度取决于盒子强度。
Item	961	ToolTip	Open this box to receive a random wonder.\r\nWonderStrength is based on BoxStrength.	打开此盒可获得随机神物。\r\n神物强度取决于盒子强度。
Item	962	ToolTip	Open this box to receive a random wonder.\r\nWonderStrength is based on BoxStrength.	打开此盒可获得随机神物。\r\n神物强度取决于盒子强度。
Item	976	ToolTip	Curves the swing of the weapon allowing\r\nyou to hit up to 4 targets at once.\r\n	挥出弧形攻击，最多可同时命中 4 个目标。\r\n
