#TYPE	INDEX	FIELD	SOURCE	TARGET
NPC	182	Name	Ashes	灰烬
NPC	181	Name	MysteriousPillar	神秘石柱
NPC	180	Name	StrangePillar	奇异石柱
NPC	104	Name	TrainerTaoist	道士导师
NPC	111	Name	TrainerTaoist	道士导师
NPC	179	Name	WierdPillar	诡异石柱
NPC	248	Name	MissMi	米小姐
NPC	246	Name	Monument	纪念碑
NPC	98	Name	Apprentice	学徒
NPC	99	Name	Apprentice	学徒
NPC	100	Name	Apprentice	学徒
NPC	101	Name	Apprentice	学徒
NPC	102	Name	Apprentice	学徒
NPC	103	Name	Apprentice	学徒
NPC	105	Name	Apprentice	学徒
NPC	106	Name	Apprentice	学徒
NPC	107	Name	Apprentice	学徒
NPC	108	Name	Apprentice	学徒
NPC	109	Name	Apprentice	学徒
NPC	110	Name	Apprentice	学徒
NPC	16	Name	Master_Wa	瓦大师
NPC	35	Name	BichonWall_Board	比奇城公告板
NPC	5	Name	Blacksmith_Smith	铁匠史密斯
NPC	20	Name	Captain_Jerald	杰拉德队长
NPC	120	Name	CaveGuide_Paddy	洞穴向导帕迪
NPC	38	Name	Examiner_Tony	考官托尼
NPC	19	Name	HighAssassin_Cloud	高阶刺客克劳德
NPC	17	Name	HighPriest_Jude	大祭司朱迪
NPC	129	Name	Merchant_Melissa	商人梅丽莎
NPC	24	Name	Teleport_Kyle	传送员凯尔
