#TYPE	INDEX	FIELD	SOURCE	TARGET
NPC	28	Name	Alchemist_Samuel	炼金师塞缪尔
NPC	27	Name	Blacksmith_Bill	铁匠比尔
NPC	184	Name	LostSoul	迷失的灵魂
NPC	134	Name	Merchant_Dr.Kim	商人金博士
NPC	166	Name	Merchant_Mr.Wang	商人王先生
NPC	128	Name	Merchant_Robert	商人罗伯特
NPC	164	Name	MongchonDelegate_Michael	盟重代表迈克尔
NPC	73	Name	SubjugationLead_Eric	征讨队长埃里克
NPC	37	Name	MirGuide_Peter	向导彼得
NPC	74	Name	Traveller_Soho	旅行者索霍
NPC	55	Name	CraftsLady_Alice	工匠爱丽丝
NPC	118	Name	LeadTrainer_Harry	首席导师哈里
NPC	70	Name	Merchant_Helen	商人海伦
NPC	3	Name	Assistant_Jane	助手简
NPC	71	Name	Master_Shok	肖克大师
NPC	135	Name	Merchant_Bradley	商人布拉德利
NPC	112	Name	BigTaoist	大道士
